Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Viktória Varga (HUN),93.69,127.5,155,282.5,Women
Viktoriya Shaimardanova (UKR),88.14,130,150,280,Women
Cheryl Haworth (USA),131.95,125,155,280,Women
Olha Korobka (UKR),156.19,125,155,280,Women
Vasiliki Kasapi (GRE),120.57,125,152.5,277.5,Women
Carmenza Delgado (COL),94.37,120,150,270,Women
Manuela Rejas (PER),108.52,95,125,220,Women
Reanna Solomon (NRU),136.85,95,125,220,Women
Ivy Shaw (FIJ),83.7,85,100,185,Women
Hossein Rezazadeh (IRI),162.95,210,262.5,472.5,Men
Viktors Ščerbatihs (LAT),140.72,205,250,455,Men
Velichko Cholakov (BUL),161.31,207.5,240,447.5,Men
Hennadiy Krasylnykov (UKR),118.43,200,240,440,Men
Oleksiy Kolokoltsev (UKR),125.07,195,242.5,437.5,Men
Paweł Najdek (POL),140.44,190,240,430,Men
Shane Hamman (USA),158.93,192.5,237.5,430,Men
An Yong-kwon (KOR),136.9,202.5,225,427.5,Men
Igor Khalilov (UZB),145.33,187.5,232.5,420,Men
Grzegorz Kleszcz (POL),124.33,190,225,415,Men
Mohamed Ihsan (EGY),142.72,185,220,405,Men
Takanobu Iwazaki (JPN),127.7,170,215,385,Men
Joel Bran (GUA),134.26,160,210,370,Men
Itte Detenamo (NRU),137.65,155,192.5,347.5,Men
Stian Grimseth (NOR),158.3,185,-1,-1,Men
Ronny Weller (GER),151.84,195,-1,-1,Men
Ashot Danielyan (ARM),163.27,-1,-1,-1,Men
Long Qingquan (CHN),55.37,132,160,292,Men
Hoàng Anh Tuấn (VIE),55.97,130,160,290,Men
Eko Yuli Irawan (INA),55.91,130,158,288,Men
Yang Chin-yi (TPE),55.43,128,157,285,Men
Cha Kum-chol (PRK),55.85,128,155,283,Men
Sergio Álvarez (CUB),55.67,120,152,272,Men
Wang Shin-yuan (TPE),55.53,115,150,265,Men
Amirul Hamizan Ibrahim (MAS),55.77,121,144,265,Men
Masaharu Yamada (JPN),55.84,106,153,259,Men
Pongsak Maneetong (THA),55.64,116,142,258,Men
Yasunobu Sekikawa (JPN),55.79,114,142,256,Men
Sergio Rada (COL),55.74,112,140,252,Men
Tom Goegebuer (BEL),55.94,114,137,251,Men
Vito Dellino (ITA),55.99,110,137,247,Men
Igor Grabucea (MDA),55.63,109,130,239,Men
Sedat Artuç (TUR),55.98,-1,-1,-1,Men
Khalil El-Maaoui (TUN),55.87,126,-1,-1,Men
Ri Kyong-sok (PRK),55.82,-1,-1,-1,Men
Vitali Dzerbianiou (BLR),55.88,127,-1,-1,Men
Chen Wei-ling (TPE),47.11,84,112,196,Women
Im Jyoung-hwa (KOR),47.62,86,110,196,Women
Pensiri Laosirikul (THA),47.67,85,110,195,Women
Hiromi Miyake (JPN),47.35,80,105,185,Women
Mélanie Noël (FRA),47.91,80,97,177,Women
Misaki Oshiro (JPN),47.62,80,92,172,Women
Marzena Karpińska (POL),47.62,79,92,171,Women
Marilou Dozois-Prévost (CAN),47.75,76,90,166,Women
Karla Moreno (NCA),47.07,65,85,150,Women
Pramsiri Bunphithak (THA),47.95,-1,-1,-1,Women
Genny Pagliaro (ITA),47.85,-1,-1,-1,Women
Chen Xiexia (CHN),47.46,95,117,212,Women
Sibel Özkan (TUR),47.8,88,111,199,Women
Nurcan Taylan (TUR),47.84,-1,-1,-1,Women
Zhang Xiangxiang (CHN),61.91,143,176,319,Men
Diego Salazar (COL),61.47,138,167,305,Men
Triyatno (INA),61.9,135,163,298,Men
Antoniu Buci (ROU),61.66,130,165,295,Men
Phaisan Hansawong (THA),61.6,132,162,294,Men
Lázaro Ruiz (CUB),61.75,132,162,294,Men
Tolkunbek Hudaýbergenow (TKM),61.96,126,162,288,Men
Mohamed Abdelbaki (EGY),62,129,159,288,Men
Yang Sheng-hsiung (TPE),61.97,130,157,287,Men
Henadzi Makhveyenia (BLR),61.95,128,150,278,Men
Manuel Minginfel (FSM),61.69,120,155,275,Men
Jasvir Singh (CAN),61.67,115,151,266,Men
Ji Hun-min (KOR),61.91,142,-1,-1,Men
Im Yong-su (PRK),61.6,138,-1,-1,Men
Óscar Figueroa (COL),61.66,-1,-1,-1,Men
Ümürbek Bazarbaýew (TKM),61.96,133,-1,-1,Men
Sardar Hasanov (AZE),61.96,128,-1,-1,Men
Prapawadee Jaroenrattanatarakoon (THA),52.47,95,126,221,Women
Yoon Jin-hee (KOR),52.72,94,119,213,Women
Raema Lisa Rumbewas (INA),52.95,91,115,206,Women
Yuderqui Contreras (DOM),52.74,93,111,204,Women
Melanie Roach (USA),52.54,83,110,193,Women
Julia Rohde (GER),52.79,82,103,185,Women
Dika Toua (PNG),52.53,80,104,184,Women
Judith Chacón (VEN),52.96,80,101,181,Women
Nastassia Novikava (BLR),52.87,95,118,213,Women
Liao Hui (CHN),68.97,158,190,348,Men
Vencelas Dabaya (FRA),68.38,151,187,338,Men
Yordanis Borrero (CUB),68.92,148,180,328,Men
Turan Mirzayev (AZE),68.86,146,181,327,Men
Kim Chol-jin (PRK),68.64,146,180,326,Men
Afgan Bayramov (AZE),68.41,145,175,320,Men
Sitthisak Suphalak (THA),68.99,147,171,318,Men
Yoshito Shintani (JPN),68.76,135,175,310,Men
Tarek Yehia (EGY),68.87,138,172,310,Men
Edi Kurniawan (INA),68.85,135,172,307,Men
Israel José Rubio (VEN),68.23,139,167,306,Men
Artyom Shaloyan (GER),68.79,135,165,300,Men
Luis Miguel Pineda (COL),68.14,132,167,299,Men
Chinthana Vidanage (SRI),68.9,128,165,293,Men
Francis Luna-Grenier (CAN),68.97,131,162,293,Men
Welisson Silva (BRA),68.92,135,155,290,Men
Răzvan Martin (ROU),68.85,130,158,288,Men
Dimitris Minasidis (CYP),66.32,128,155,283,Men
Mark Spooner (NZL),68.86,123,158,281,Men
Kamal Bahadur Adhikari (NEP),68.67,114,154,268,Men
Logona Esau (TUV),68.14,110,144,254,Men
Nizom Sangov (TJK),66.06,115,135,250,Men
Shi Zhiyong (CHN),68.17,152,-1,-1,Men
Alexandru Roșu (ROU),68.91,136,-1,-1,Men
Giorgio De Luca (ITA),68.93,131,-1,-1,Men
Gert Trasha (ALB),68.68,-1,-1,-1,Men
Edwin Mosquera (COL),68.59,-1,-1,-1,Men
Lee Bae-young (KOR),68.67,155,-1,-1,Men
Tigran Martirosyan (ARM),68.9,153,185,338,Men
Alexandru Dudoglo (MDA),68.68,145,172,317,Men
Chen Yanqing (CHN),57.66,106,138,244,Women
O Jong-ae (PRK),57.15,95,131,226,Women
Wandee Kameaim (THA),57.25,98,128,226,Women
Alexandra Escobar (ECU),57.82,99,124,223,Women
Romela Begaj (ALB),57.56,98,118,216,Women
Aleksandra Klejnowska (POL),57.66,95,120,215,Women
Roxana Cocoș (ROU),57.88,89,115,204,Women
Geralee Vega (PUR),57.51,90,112,202,Women
Marieta Gotfryd (POL),57.7,90,110,200,Women
Hidilyn Diaz (PHI),56.28,85,107,192,Women
Wendy Hale (SOL),57.15,78,95,173,Women
Marina Shainova (RUS),57.93,98,129,227,Women
Sa Jae-hyouk (KOR),76.46,163,203,366,Men
Li Hongli (CHN),76.91,168,198,366,Men
Gevorg Davtyan (ARM),76.77,165,195,360,Men
Kim Kwang-hoon (KOR),76.86,155,200,355,Men
Oleg Perepetchenov (RUS),76.8,162,192,354,Men
Iván Cambar (CUB),76.53,157,196,353,Men
Ara Khachatryan (ARM),76.78,162,191,353,Men
Krzysztof Szramiak (POL),76.71,161,191,352,Men
Vladimir Kuznetsov (KAZ),76.86,160,191,351,Men
Siarhei Lahun (BLR),76.56,157,192,349,Men
Sandow Nasution (INA),76.92,153,194,347,Men
Mahmoud El-Haddad (EGY),76.73,150,192,342,Men
Erkand Qerimaj (ALB),76.52,154,187,341,Men
Giovanni Bardis (FRA),76.83,156,173,329,Men
Felix Ekpo (NGR),75.83,143,183,325,Men
Sherzodjon Yusupov (UZB),76.24,144,178,322,Men
José Ocando (VEN),76.9,140,182,322,Men
Răzvan Rusu (ROU),76.69,140,170,310,Men
Carlos Espeleta (ARG),76.93,140,170,310,Men
Andrei Guțu (MDA),76.38,145,160,305,Men
Richie Patterson (NZL),76.57,130,170,300,Men
Darryn Anthony (RSA),76.98,135,160,295,Men
Josefa Vueti (FIJ),76.15,124,155,279,Men
Romain Marchessou (MON),75.53,110,140,250,Men
János Baranyai (HUN),76.92,145,-1,-1,Men
Octavio Mejías (VEN),76.53,152,-1,-1,Men
Taner Sağır (TUR),76.73,-1,-1,-1,Men
Chad Vaughn (USA),76.81,147,-1,-1,Men
Pak Hyon-suk (PRK),61.8,106,135,241,Women
Lu Ying-chi (TPE),62.46,104,127,231,Women
Christine Girard (CAN),62.44,102,126,228,Women
Nguyễn Thị Thiết (VIE),62.49,100,125,225,Women
Kim Soo-kyung (KOR),62.74,98,127,225,Women
Ruth Kasirye (NOR),62.62,103,121,224,Women
Luz Acosta (MEX),62.84,103,120,223,Women
Mercedes Pérez (COL),62.48,97,120,217,Women
Namkhaidorjiin Bayarmaa (MGL),62.5,90,123,213,Women
Dominika Misterska (POL),62.6,94,117,211,Women
Natalie Woolfolk (USA),62.72,97,114,211,Women
Solenny Villasmil (VEN),62.6,90,115,205,Women
Carissa Gump (USA),62.2,88,116,204,Women
Michaela Breeze (GBR),61.55,85,100,185,Women
Hanene Ourfelli (TUN),62.38,80,95,175,Women
María Teresa Monasterio (BOL),62.96,63,78,141,Women
Svetlana Tsarukaeva (RUS),62.37,-1,-1,-1,Women
Leila Lassouani (ALG),62.28,85,-1,-1,Women
Irina Nekrassova (KAZ),62.86,110,130,240,Women
Maiya Maneza (KAZ),62.12,-1,-1,-1,Women
Lu Yong (CHN),84.41,180,214,394,Men
Tigran Martirosyan (ARM),83.78,177,203,380,Men
Jadier Valladares (CUB),84.84,169,203,372,Men
Benjamin Hennequin (FRA),84.55,162,205,367,Men
Mansurbek Chashemov (UZB),84.71,165,202,367,Men
Kendrick Farris (USA),84.14,160,202,362,Men
Carlos Andica (COL),84.62,155,201,356,Men
Ulanbek Moldodosov (KGZ),84.74,152,194,346,Men
Ondrej Kutlík (SVK),84.89,150,193,343,Men
Benedict Uloko (NGR),84.97,148,191,339,Men
Brice Batchaya (CMR),82.77,153,180,333,Men
David Katoatau (KIR),84.17,135,178,313,Men
Terrence Dixie (SEY),82.67,115,140,255,Men
İzzet İnce (TUR),84.29,170,-1,-1,Men
Vadzim Straltsou (BLR),84.37,-1,-1,-1,Men
Rauli Tsirekidze (GEO),84.55,143,-1,-1,Men
Herbys Márquez (VEN),84.91,-1,-1,-1,Men
Edgar Gevorgyan (ARM),84.69,176,-1,-1,Men
Andrei Rybakou (BLR),84.69,185,209,394,Men
Vladimir Sedov (KAZ),84.54,180,200,380,Men
Intigam Zairov (AZE),84.52,166,195,361,Men
Oxana Slivenko (RUS),68.47,115,140,255,Women
Leydi Solís (COL),67.54,105,135,240,Women
Abeer Abdelrahman (EGY),69,105,133,238,Women
Tulia Medina (COL),68.63,106,124,230,Women
Hanna Batsiushka (BLR),68.65,105,120,225,Women
Rika Saito (JPN),68.65,87,122,209,Women
Iriner Jiménez (VEN),65.33,90,-1,-1,Women
Hong Yong-ok (PRK),68.07,-1,-1,-1,Women
Liu Chunhong (CHN),68.87,128,158,286,Women
Nataliya Davydova (UKR),68.63,115,135,250,Women
Szymon Kołecki (POL),93.73,179,224,403,Men
Arsen Kasabiev (GEO),93.69,176,223,399,Men
Yoandry Hernández (CUB),92.3,178,215,393,Men
Asghar Ebrahimi (IRI),92.32,180,212,392,Men
Roman Konstantinov (RUS),93.9,175,212,387,Men
Jürgen Spieß (GER),93.74,173,211,384,Men
José Juan Navarro (ESP),93.09,173,210,383,Men
Artem Ivanov (UKR),93.97,170,210,380,Men
Vadim Vacarciuc (MDA),93.69,168,205,373,Men
Eugen Bratan (MDA),93.71,170,200,370,Men
Konstantinos Gkaripis (GRE),93.01,160,200,360,Men
Anastasios Triantafyllou (GRE),93.9,155,196,351,Men
Ravi Bhollah (MRI),93.03,125,150,275,Men
Bartłomiej Bonk (POL),93,175,-1,-1,Men
Eduardo Guadamud (ECU),93.71,165,-1,-1,Men
Ilya Ilyin (KAZ),93.64,180,226,406,Men
Khadzhimurat Akkaev (RUS),92.99,185,217,402,Men
Nizami Pashayev (AZE),93.83,181,215,396,Men
Alla Vazhenina (KAZ),73.88,119,147,266,Women
Lidia Valentín (ESP),74.42,115,135,250,Women
Damaris Aguirre (MEX),74.82,109,136,245,Women
Ubaldina Valoyes (COL),73.3,110,134,244,Women
Jeane Lassen (CAN),74.42,105,135,240,Women
Nadiya Myronyuk (UKR),74.11,105,132,237,Women
Yuliya Novakovich (BLR),74.19,110,127,237,Women
Elizabeth Poblete (CHI),74.43,91,106,197,Women
Cao Lei (CHN),73.16,128,154,282,Women
Nadezhda Evstyukhina (RUS),73.33,117,147,264,Women
Iryna Kulesha (BLR),74.78,118,137,255,Women
Hripsime Khurshudyan (ARM),74.74,105,130,235,Women
Andrei Aramnau (BLR),104.76,200,236,436,Men
Dmitry Klokov (RUS),104.72,193,230,423,Men
Marcin Dołęga (POL),104.37,195,225,420,Men
Bakhyt Akhmetov (KAZ),102.13,190,225,415,Men
Albert Kuzilov (GEO),102.48,182,227,409,Men
Sergey Istomin (KAZ),102.03,181,225,406,Men
Robert Dołęga (POL),104.27,184,221,405,Men
Nikolaos Kourtidis (GRE),103.36,176,221,397,Men
Mohsen Beiranvand (IRI),104.34,180,210,390,Men
Oleksiy Torokhtiy (UKR),104.64,177,213,390,Men
Ahed Joughili (SYR),104.9,170,216,386,Men
Abdelrahman El-Sayed (EGY),104.84,175,210,385,Men
Bünyamin Sudaş (TUR),104.39,166,207,373,Men
Libor Wälzer (CZE),104.64,163,187,350,Men
Christian López (GUA),103.76,150,186,336,Men
Moreno Boer (ITA),104.45,150,180,330,Men
Ramūnas Vyšniauskas (LTU),104.18,180,-1,-1,Men
Martin Tešovič (SVK),104.47,-1,-1,-1,Men
Dmitry Lapikov (RUS),104.3,190,230,420,Men
Ihor Razoronov (UKR),104.58,187,223,410,Men
Jang Mi-ran (KOR),116.75,140,186,326,Women
Ele Opeloge (SAM),123.89,119,150,269,Women
Mariam Usman (NGR),115.3,115,150,265,Women
Cheryl Haworth (USA),136.29,115,144,259,Women
Yuliya Dovhal (UKR),96.05,118,140,258,Women
Deborah Lovely (AUS),94.19,113,135,248,Women
Victoria Mavridou (GRE),102.15,105,126,231,Women
Cristina Cornejo (PER),117.5,97,128,225,Women
Eva Dimas (ESA),86.85,105,-1,-1,Women
Olha Korobka (UKR),166.97,124,153,277,Women
Mariya Grabovetskaya (KAZ),112.93,120,150,270,Women
Matthias Steiner (GER),145.93,203,258,461,Men
Evgeny Chigishev (RUS),124.13,210,250,460,Men
Viktors Ščerbatihs (LAT),144.97,206,242,448,Men
Artem Udachyn (UKR),144.09,207,235,442,Men
Ihor Shymechko (UKR),130.25,201,232,433,Men
Rashid Sharifi (IRI),142.89,196,230,426,Men
Grzegorz Kleszcz (POL),131.16,185,234,419,Men
Almir Velagić (GER),132.16,188,225,413,Men
Damon Kelly (AUS),154.15,165,221,386,Men
Itte Detenamo (NRU),148.48,175,210,385,Men
Antti Everi (FIN),130.04,171,195,366,Men
Sam Pera (COK),122.96,155,195,350,Men
Maamaloa Lolohea (TGA),135.13,140,173,313,Men
Jeon Sang-guen (KOR),155.49,-1,-1,-1,Men
Om Yun-chol (PRK),55.76,125,168,293,Men
Wu Jingbiao (CHN),55.91,133,156,289,Men
Trần Lê Quốc Toàn (VIE),55.84,125,159,284,Men
Jadi Setiadi (INA),55.48,127,150,277,Men
José Montes (MEX),55.8,112,157,269,Men
Sergio Rada (COL),55.89,118,151,269,Men
Carlos Berna (COL),55.55,118,150,268,Men
Sin Chol-bom (PRK),55.72,113,145,258,Men
Yasmani Romero (CUB),55.95,112,146,258,Men
Tom Goegebuer (BEL),55.88,115,132,247,Men
Manueli Tulo (FIJ),55.77,105,128,233,Men
Mirco Scarantino (ITA),55.42,97,128,225,Men
Sergio Álvarez (CUB),55.96,121,-1,-1,Men
Bekzat Osmonaliev (KGZ),55.93,127,-1,-1,Men
Ruslan Makarov (UZB),55.96,117,-1,-1,Men
Khalil El-Maaoui (TUN),55.39,132,-1,-1,Men
Valentin Hristov (AZE),55.84,127,159,286,Men
Florin Croitoru (ROU),55.9,121,147,268,Men
Wang Mingjuan (CHN),47.73,91,114,205,Women
Hiromi Miyake (JPN),47.74,87,110,197,Women
Ryang Chun-hwa (PRK),47.52,80,112,192,Women
Sirivimon Pramongkhol (THA),47.23,82,109,191,Women
Nurdan Karagöz (TUR),46.99,83,104,187,Women
Honami Mizuochi (JPN),47.77,80,96,176,Women
Ngangbam Soniya Chanu (IND),47.74,74,97,171,Women
Betsi Rivas (VEN),47.43,70,98,168,Women
Beatriz Pirón (DOM),47.85,77,90,167,Women
Mélanie Bardis (FRA),47.71,73,93,166,Women
Lely Burgos (PUR),47.61,65,92,157,Women
Nathalia Rakotondramanana (MAD),47.74,55,80,135,Women
Panida Khamsri (THA),47.45,-1,-1,-1,Women
Marina Sisoeva (UZB),47.85,-1,-1,-1,Women
Kim Un-guk (PRK),61.77,153,174,327,Men
Óscar Figueroa (COL),61.76,140,177,317,Men
Eko Yuli Irawan (INA),61.89,145,172,317,Men
Zhang Jie (CHN),61.86,140,174,314,Men
Hurşit Atak (TUR),61.93,130,172,302,Men
Ümürbek Bazarbaýew (TKM),61.95,135,167,302,Men
Muhammad Hasbi (INA),61.81,138,163,301,Men
Ahmed Saad (EGY),61.63,130,162,292,Men
Manuel Minginfel (FSM),61.86,127,158,285,Men
Julio Salamanca (ESA),61.03,110,150,260,Men
Tuau Lapua Lapua (TUV),61.62,108,135,243,Men
Charles Ssekyaaya (UGA),61.47,105,130,235,Men
Stevick Patris (PLW),61.34,104,130,234,Men
Ji Hun-min (KOR),61.57,135,-1,-1,Men
Erol Bilgin (TUR),61.9,135,165,300,Men
Hsu Shu-ching (TPE),52.41,96,123,219,Women
Citra Febrianti (INA),52.53,91,115,206,Women
Iulia Paratova (UKR),52.43,91,108,199,Women
Rusmeris Villar (COL),52.59,87,109,196,Women
Aleksandra Klejnowska (POL),52.67,84,112,196,Women
Nguyễn Thị Thúy (VIE),52.23,85,110,195,Women
Yu Weili (HKG),52.95,90,105,195,Women
Inmara Henríquez (VEN),52.84,81,113,194,Women
Julia Rohde (GER),52.45,85,108,193,Women
Kanae Yagi (JPN),52.36,82,109,191,Women
Joanna Łochowska (POL),52.57,84,107,191,Women
Dika Toua (PNG),52.48,79,95,174,Women
Helena Wong (SIN),52.31,61,73,134,Women
Yuderqui Contreras (DOM),52.95,-1,-1,-1,Women
Zhou Jun (CHN),52.8,-1,-1,-1,Women
Aylin Daşdelen (TUR),52.91,91,-1,-1,Women
Zulfiya Chinshanlo (KAZ),52.7,95,131,226,Women
Cristina Iovu (MDA),52.79,99,120,219,Women
Lin Qingfeng (CHN),67.79,157,187,344,Men
Triyatno (INA),68.88,145,188,333,Men
Kim Myong-hyok (PRK),68.78,145,184,329,Men
Junior Sánchez (VEN),68.67,148,180,328,Men
Won Jeong-sik (KOR),68.73,144,178,322,Men
Briken Calja (ALB),68.96,143,177,320,Men
Mohamed Abdelbaki (EGY),68.97,145,171,316,Men
Kim Kum-sok (PRK),68.61,140,175,315,Men
Deni (INA),67.63,140,171,311,Men
Daniýar Ysmaýylow (TKM),68.06,145,165,310,Men
Doyler Sánchez (COL),68.11,138,170,308,Men
Katulu Ravi Kumar (IND),68.67,136,167,303,Men
Atthaphon Daengchanthuek (THA),68.83,130,170,300,Men
Gareth Evans (GBR),68.31,130,158,288,Men
Bünyamin Sezer (TUR),66.95,130,145,275,Men
Arakel Mirzoyan (ARM),68.73,148,-1,-1,Men
Daniel Godelli (ALB),68.49,-1,-1,-1,Men
Afgan Bayramov (AZE),68.54,-1,-1,-1,Men
Bakhram Mendibaev (UZB),68.69,-1,-1,-1,Men
Vencelas Dabaya (FRA),68.66,-1,-1,-1,Men
Bernardin Matam (FRA),68.32,-1,-1,-1,Men
Răzvan Martin (ROU),68.61,152,180,332,Men
Mete Binay (TUR),68.7,150,175,325,Men
Sardar Hasanov (AZE),68.77,145,176,321,Men
Li Xueying (CHN),57.98,108,138,246,Women
Pimsiri Sirikaew (THA),57.76,100,136,236,Women
Rattikan Gulnoi (THA),57.71,100,134,234,Women
Jong Chun-mi (PRK),57.63,101,130,231,Women
Nastassia Novikava (BLR),57.94,103,127,230,Women
Kuo Hsing-chun (TPE),56.95,99,129,228,Women
Alexandra Escobar (ECU),57.48,103,123,226,Women
Jackelina Heredia (COL),57.86,100,125,225,Women
Romela Begaj (ALB),57.94,101,115,216,Women
Zoe Smith (GBR),57.97,90,121,211,Women
Christin Ulrich (GER),57.4,93,114,207,Women
Yang Eun-hye (KOR),57.93,87,113,200,Women
Bediha Tunadağı (TUR),57.34,87,107,194,Women
Annie Moniqui (CAN),57.91,85,105,190,Women
Jenly Tegu Wini (SOL),57.43,65,95,160,Women
Hidilyn Diaz (PHI),57.7,97,-1,-1,Women
Lina Rivas (COL),57.73,103,-1,-1,Women
Yuliya Kalina (UKR),57.6,106,129,235,Women
Boyanka Kostova (AZE),56.93,105,128,233,Women
Lü Xiaojun (CHN),76.62,175,204,379,Men
Lu Haojie (CHN),76.37,170,190,360,Men
Iván Cambar (CUB),76.7,155,194,349,Men
Chatuphum Chinnawong (THA),76.64,157,191,348,Men
Ibrahim Ramadan (EGY),76.79,155,192,347,Men
Andrés Mata (ESP),76.93,150,188,338,Men
Krzysztof Zwarycz (POL),76.97,150,182,332,Men
Felix Ekpo (NGR),76.23,151,180,331,Men
Kirill Pavlov (KAZ),76.77,147,175,322,Men
Jack Oliver (GBR),76.45,140,170,310,Men
Toafitu Perive (SAM),75.95,122,167,289,Men
Sa Jae-hyouk (KOR),76.56,158,-1,-1,Men
Christine Girard (CAN),62.87,103,133,236,Women
Milka Maneva (BUL),62.66,102,131,233,Women
Luz Acosta (MEX),62.91,99,125,224,Women
Seen Lee (AUS),59.65,83,103,186,Women
Maria Liku (FIJ),61.45,82,100,182,Women
Lucía Castañeda (NCA),62.45,79,97,176,Women
Silvana Saldarriaga (PER),58.11,75,97,172,Women
Maiya Maneza (KAZ),62.21,110,135,245,Women
Svetlana Tsarukaeva (RUS),62.42,112,125,237,Women
Sibel Şimşek (TUR),62.28,105,130,235,Women
Adrian Zieliński (POL),84.62,174,211,385,Men
Kianoush Rostami (IRI),84.35,171,209,380,Men
Tarek Yehia (EGY),84.7,165,210,375,Men
Ivan Markov (BUL),84.71,172,203,375,Men
Ragab Abdelhay (EGY),84.81,165,207,372,Men
Yoelmis Hernández (CUB),82.28,163,205,368,Men
Kendrick Farris (USA),84.7,155,200,355,Men
Sherzodjon Yusupov (UZB),84.72,155,195,350,Men
Pitaya Tibnoke (THA),84.47,152,196,348,Men
Safaa Rashed (IRQ),83.01,150,195,345,Men
Richie Patterson (NZL),84.46,150,186,336,Men
Steven Kari (PNG),84.74,140,180,320,Men
Nezir Sağır (TUR),83.45,140,175,315,Men
Mansur Rejepow (TKM),84.57,160,-1,-1,Men
Lu Yong (CHN),84.54,178,-1,-1,Men
Sohrab Moradi (IRI),84.19,-1,-1,-1,Men
Benjamin Hennequin (FRA),84.44,-1,-1,-1,Men
Ara Khachatryan (ARM),84.74,-1,-1,-1,Men
Andrei Rybakou (BLR),84.09,-1,-1,-1,Men
Apti Aukhadov (RUS),84.75,175,210,385,Men
Mikalai Novikau (BLR),84.71,167,196,363,Men
Rauli Tsirekidze (GEO),84.49,162,200,362,Men
Gabriel Sîncrăian (ROU),84.07,-1,-1,-1,Men
Rim Jong-sim (PRK),68.22,115,146,261,Women
Anna Nurmukhambetova (KAZ),68.71,115,136,251,Women
Ubaldina Valoyes (COL),68.98,111,135,246,Women
Huang Shih-hsu (TPE),68.45,110,131,241,Women
Marie-Ève Beauchemin-Nadeau (CAN),68.92,104,135,239,Women
Esmat Mansour (EGY),68.42,105,130,235,Women
Ghada Hassine (TUN),68.64,102,120,222,Women
Rosa Tenorio (ECU),68.72,95,115,210,Women
Natasha Perdue (GBR),67.98,92,113,205,Women
Mercy Obiero (KEN),67.85,76,105,181,Women
Mun Yu-ra (KOR),68.56,-1,-1,-1,Women
Roxana Cocoș (ROU),68,113,143,256,Women
Maryna Shkermankova (BLR),68.21,113,143,256,Women
Dzina Sazanavets (BLR),68.49,115,141,256,Women
Meline Daluzyan (ARM),68.65,111,-1,-1,Women
Saeid Mohammadpour (IRI),94,183,219,402,Men
Kim Min-jae (KOR),93.68,185,210,395,Men
Tomasz Zieliński (POL),93.61,175,210,385,Men
Aliaksandr Makaranka (BLR),93.65,175,209,384,Men
Kostyantyn Piliyev (UKR),93.59,166,206,372,Men
David Kavelasvili (GRE),93.21,170,200,370,Men
Abbas Al-Qaisoum (KSA),93.06,155,180,335,Men
Peter Kirkbride (GBR),93.37,138,190,328,Men
David Katoatau (KIR),93.32,140,185,325,Men
Cristopher Pavón (HON),93.2,140,180,320,Men
Miika Antti-Roiko (FIN),93.63,140,180,320,Men
Jean Greeff (RSA),93.32,137,176,313,Men
Arsen Kasabijew (POL),93.56,170,-1,-1,Men
Ilya Ilyin (KAZ),93.52,185,233,418,Men
Aleksandr Ivanov (RUS),93.3,185,224,409,Men
Anatolie Cîrîcu (MDA),93.29,181,226,407,Men
Andrey Demanov (RUS),93.85,182,225,407,Men
Intigam Zairov (AZE),93.17,182,215,397,Men
Almas Uteshov (KAZ),93.15,175,220,395,Men
Norayr Vardanyan (ARM),93.83,170,210,380,Men
Endri Karina (ALB),93.9,155,195,350,Men
Lidia Valentín (ESP),74.39,120,145,265,Women
Abeer Abdelrahman (EGY),74.6,118,140,258,Women
Madias Nzesso (CMR),74.55,115,131,246,Women
Ewa Mizdal (POL),70.58,104,127,231,Women
Jaqueline Ferreira (BRA),74.12,102,128,230,Women
María Fernanda Valdés (CHI),74.7,96,127,223,Women
Lim Ji-hye (KOR),74.81,97,126,223,Women
Thuraia Sobh (SYR),73.36,86,115,201,Women
Khadija Mohammed (UAE),74.72,51,62,113,Women
Nadezhda Evstyukhina (RUS),74.23,-1,-1,-1,Women
Svetlana Podobedova (KAZ),74.58,130,161,291,Women
Natalya Zabolotnaya (RUS),74.8,131,160,291,Women
Iryna Kulesha (BLR),74.95,121,148,269,Women
Navab Nassirshalal (IRI),104.41,184,227,411,Men
Bartłomiej Bonk (POL),104.01,190,220,410,Men
Ivan Efremov (UZB),103.83,183,218,401,Men
Ahed Joughili (SYR),104.98,180,218,398,Men
Artūrs Plēsnieks (LAT),103.69,175,215,390,Men
Jorge Arroyo (ECU),103.96,185,200,385,Men
Jürgen Spieß (GER),104.45,172,202,374,Men
Serhiy Tahirov (UKR),104.72,174,200,374,Men
Martin Tešovič (SVK),104.19,167,196,363,Men
Alexandr Zaichikov (KAZ),94.74,155,205,360,Men
Jorge García (CHI),104.41,150,191,341,Men
Walid Bidani (ALG),101.45,160,180,340,Men
Gia Machavariani (GEO),103.86,185,-1,-1,Men
Kim Hwa-seung (KOR),104.55,-1,-1,-1,Men
Marcin Dołęga (POL),104.01,-1,-1,-1,Men
Oleksiy Torokhtiy (UKR),104.31,185,227,412,Men
Ruslan Nurudinov (UZB),102.04,184,220,404,Men
Zhou Lulu (CHN),130.83,146,187,333,Women
Tatiana Kashirina (RUS),102.31,151,181,332,Women
Jang Mi-ran (KOR),118.07,125,164,289,Women
Nahla Ramadan (EGY),105.51,122,155,277,Women
Ele Opeloge (SAM),124.89,117,150,267,Women
Sarah Robles (USA),124.35,120,145,265,Women
Oliba Nieve (ECU),97.43,117,138,255,Women
