Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Idalberto Aranda (CUB),76.86,150,200,350,Men
Mehmet Yılmaz (TUR),76.6,160,187.5,347.5,Men
Ruslan Savchenko (UKR),76.9,157.5,180,337.5,Men
Oscar Chaplin (USA),76.84,155,180,335,Men
Ayhan Çiçek (TUR),76.88,145,180,325,Men
Damian Brown (AUS),76.8,145,175,320,Men
Carlos Saurí (PUR),76.92,140,165,305,Men
Joseph Bellon (SLE),76.48,95,105,200,Men
Mohammad Hossein Barkhah (IRI),76.16,-1,-1,-1,Men
Adrián Popa (HUN),76.54,-1,-1,-1,Men
Chen Xiaomin (CHN),62.82,112.5,130,242.5,Women
Valentina Popova (RUS),62.08,107.5,127.5,235,Women
Ioanna Chatziioannou (GRE),61.82,97.5,125,222.5,Women
Saipin Detsaeng (THA),62.38,102.5,120,222.5,Women
Kim Yong-ok (PRK),59.06,90,115,205,Women
Amanda Phillips (AUS),62.96,82.5,107.5,190,Women
Josefa Pérez (ESP),62.36,85,102.5,187.5,Women
Nora Köppel (ARG),62.12,80,102.5,182.5,Women
Kesaia Tawai (FIJ),62.96,75,90,165,Women
Pyrros Dimas (GRE),84.06,175,215,390,Men
Marc Huster (GER),84.22,177.5,212.5,390,Men
Giorgi Asanidze (GEO),84.7,180,210,390,Men
Krzysztof Siemion (POL),84.46,167.5,212.5,380,Men
Gagik Khachatryan (ARM),84.68,175,205,380,Men
Sergo Chakhoyan (AUS),82.4,175,202.5,377.5,Men
Christos Spyrou (GRE),83.2,170,205,375,Men
Ernesto Quiroga (CUB),84.8,165,210,375,Men
Mariusz Rytkowski (POL),84.64,170,200,370,Men
Valeriu Calancea (ROM),84.74,160,205,365,Men
Joel Mackenzie (CUB),84.86,165,200,365,Men
Nizami Pashayev (AZE),84.16,155,202.5,357.5,Men
Yury Myshkovets (RUS),84.82,162.5,192.5,355,Men
Bakhtiyor Nurullaev (UZB),84.42,160,192.5,352.5,Men
Mohamed Mousa (EGY),84.62,160,192.5,352.5,Men
Mital Sharipov (KGZ),84.54,155,190,345,Men
Sergio Mannironi (ITA),83.18,150,180,330,Men
Ofisa Ofisa (SAM),84.8,135,175,310,Men
Khodor Alaywan (LIB),81.56,130,160,290,Men
Shahin Nassirinia (IRI),85,-1,-1,-1,Men
Lin Weining (CHN),66.74,110,132.5,242.5,Women
Erzsébet Márkus (HUN),68.52,112.5,130,242.5,Women
Karnam Malleswari (IND),67.9,110,130,240,Women
Milena Trendafilova (BUL),67.76,100,132.5,232.5,Women
Daniela Kerkelova (BUL),68.12,100,132.5,232.5,Women
Irina Kasimova (RUS),68.56,100,130,230,Women
Pawina Thongsuk (THA),67.22,100,125,225,Women
Beata Prei (POL),67.5,100,125,225,Women
Michelle Kettner (AUS),67.8,100,122.5,222.5,Women
Aphinya Pharksupho (THA),68.28,102.5,120,222.5,Women
Maria Tatsi (GRE),67.42,92.5,127.5,220,Women
Eva Dimas (ESA),68.4,92.5,110,202.5,Women
Ruth Rivera (PUR),67.28,82.5,105,187.5,Women
Valerie Pedro (PLW),68.04,70,90,160,Women
Nagwan El-Zawawi (EGY),68.2,92.5,-1,-1,Women
Akakios Kakiasvilis (GRE),92.06,185,220,405,Men
Szymon Kołecki (POL),93.58,182.5,222.5,405,Men
Aleksey Petrov (RUS),93.3,180,222.5,402.5,Men
Kourosh Bagheri (IRI),93.42,187.5,215,402.5,Men
Vadim Vacarciuc (MDA),92.66,177.5,220,397.5,Men
Zoltán Kovács (HUN),94,180,217.5,397.5,Men
Bünyamin Sudaş (TUR),93.36,177.5,215,392.5,Men
Julio Luna (VEN),93.48,177.5,215,392.5,Men
Michel Batista (CUB),93.18,175,210,385,Men
Aleksander Karapetyan (AUS),94,175,207.5,382.5,Men
Andriy Demchuk (UKR),93.2,170,207.5,377.5,Men
Slavik Nyu (KAZ),92.46,175,200,375,Men
Andrey Makarov (KAZ),92.82,177.5,197.5,375,Men
Kiril Kounev (AUS),93.32,170,205,375,Men
Bakhyt Akhmetov (KGZ),93.04,175,192.5,367.5,Men
Pavel Bazuk (BLR),90.34,167.5,197.5,365,Men
Lars Betker (GER),93.1,165,200.5,365,Men
Sergejs Lazovskis (LAT),93.22,155,200,355,Men
Darío Lecman (ARG),92.64,135,170,305,Men
María Isabel Urrutia (COL),73.28,110,135,245,Women
Ruth Ogbeifo (NGR),74.2,105,140,245,Women
Kuo Yi-hang (TPE),74.52,107.5,137.5,245,Women
Kim Soon-hee (KOR),73.84,105,135,240,Women
Gyöngyi Likerecz (HUN),74.16,105,122.5,227.5,Women
Svetlana Khabirova (RUS),74.38,102.5,125,227.5,Women
Cara Heads (USA),72.64,102.5,120,222.5,Women
Wanda Rijo (DOM),73.74,95,120,215,Women
Mónica Carrió (ESP),74.18,95,110,205,Women
Karoliina Lundahl (FIN),74.36,-1,-1,-1,Women
Tatyana Khromova (KAZ),74.68,110,-1,-1,Women
Hossein Tavakkoli (IRI),104.7,190,235,425,Men
Alan Tsagaev (BUL),104.48,187.5,235,422.5,Men
Said Saif Asaad (QAT),104.12,190,230,420,Men
Ihor Razoronov (UKR),104.52,192.5,227.5,420,Men
Evgeny Chigishev (RUS),104.38,190,225,415,Men
Alexandru Bratan (MDA),104.16,190,220,410,Men
Florin Vlad (ROM),102.72,180,225,405,Men
